author,message,timestamp,time_in_seconds,time_text
Енотик Полоскун:3,нет не одна,1595183585892153,55,0:55
just pain,iam need sleep,1595183586005798,55,0:55
Courtney Mettler,relaxing 😌,1595183586416535,56,0:56
Calcium,*A*,1595183586736254,56,0:56
Милка Кан,@Nastya Grehca нет! я казах,1595183587319377,57,0:57
David Quintero,OMG,1595183587631809,57,0:57
Dylan Tackett,Hi,1595183587650780,57,0:57
Scotobro 7,lofi and gogurt :D,1595183587925318,57,0:57
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183590263301,58,0:58
Ali,:shelterin:,1595183590407236,58,0:58
Franco Clavel,TODOS HABLANDO EN INGLES LPM!!!!!!!,1595183588544537,58,0:58
李靖方,晚安🌙⭐️🌙⭐️🌙,1595183590533468,58,0:58
Susan Tower,THE KITTY IS SO CUTE,1595183590568725,58,0:58
Diego Barrantes,raaaaaaaaa,1595183588801018,58,0:58
killer birds !,hope u all have an amazing day and just know that sangwoo is always watching you :virtualhug::virtualhug:,1595183588804073,58,0:58
Canal inútil Para cosas inútil,HORA DE MIMIR UWU,1595183590735487,58,0:58
Twilight76YT,WHERE IS THE MUSIC?!?!?!?!?!?!?!?!??!?!?!?!???!?!?!,1595183591153249,59,0:59
OP17 Gaming,its 20:33 in south africa,1595183591243858,59,0:59
Кристина Кириллова,не одна),1595183591668947,59,0:59
DuCk SQuAD,awwwww she's sleeping,1595183592189037,60,1:00
eduardo escalante,Ya me dio la anciedad,1595183592294473,60,1:00
THE PLAYER ONE,Arthur was here,1595183592327142,60,1:00
Francesco Orsini,so chilling,1595183592638444,60,1:00
W i l l,FREE FIRE É O CRIME,1595183592945102,60,1:00
ïsä .S,UHUU NOVA LIVE DE LOFI,1595183592986481,60,1:00
DarkGamingLegion Knight,qwq,1595183593049084,60,1:00
Snaiper_19 _,21:33,1595183593229865,61,1:01
Itzcloudlet,OMGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG COOOOOOOOOOOOOOOOOOOOOOOOOOOOL UwU,1595183593280809,61,1:01
jeremyjars,chill time,1595183593929201,61,1:01
selina Toliyat,ایرانیا بیاین,1595183594092193,62,1:02
Baraka Wandario,Yaaay,1595183594327562,62,1:02
Petar Andjelkovic,this is my life from now on,1595183594434733,62,1:02
SirCheezBall,HI YUtub,1595183594459784,62,1:02
daniel f,despues de tanta tarea no me sorprende que este cansada,1595183594722736,62,1:02
BEymeN.,hey everyvone,1595183594816725,62,1:02
• MyH •,SEUS CORNO!!!,1595183595206356,63,1:03
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183595347327,63,1:03
David Villca Rivera,BUENAS ;),1595183595879005,63,1:03
•.Eichilla V.•,Tem BR aqui??,1595183595980645,63,1:03
Game Boi,deutsche hier,1595183596075393,64,1:04
Oursodou,:goodvibes:,1595183596277957,64,1:04
Pinifoxy,Hi!,1595183596511708,64,1:04
THE PLAYER ONE,Arthur was here,1595183596800086,64,1:04
Ayman Hailu,❤,1595183596969017,64,1:04
Andrew Daniel,comfy,1595183597087044,64,1:04
Samy Perichon,i love this,1595183597349023,65,1:05
VIRCOD,cool animation,1595183597709440,65,1:05
DEZI,Всем Салам,1595183598332805,66,1:06
StingBolt,noice,1595183598770969,66,1:06
Anderson Monegro,:virtualhug:,1595183598799595,66,1:06
Flávia :3,i am from brazil!!!!,1595183599054080,66,1:06
Love xyz,:virtualhug::virtualhug::virtualhug:,1595183599105385,67,1:07
Four thy of the BFB,uwu,1595183599918983,67,1:07
Ethan D,ITS SO FUCKING PEACEFUL,1595183600066033,67,1:07
Ignacio Spomer,/Chill Cow,1595183600118958,68,1:08
SirCheezBall,this do be fun,1595183600816329,68,1:08
POLAI BOI,:yt::virtualhug::yt:,1595183600868139,68,1:08
I simp for anime characters and black screens,NO MY AIRPOD DIEDDD😤😭😭😭😫😫😫,1595183601084011,69,1:09
Jan Falfus,:goodvibes::goodvibes::goodvibes:,1595183601185860,69,1:09
Samuel Gingras,Dean she finally done studying,1595183601417058,69,1:09
Dovydas Bakys,hentai,1595183601966632,69,1:09
_s a k u r a. b l o s s o m_,:shelterin::takeout::chillwcat::shelterin::takeout::chillwcat:,1595183601989695,69,1:09
Erik Gabriel Machado Fernandes,c,1595183602344696,70,1:10
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183602563127,70,1:10
Erik Gabriel Machado Fernandes,c,1595183603326462,71,1:11
alina¹²⁷,the girl is a whole mood tho-,1595183603500469,71,1:11
THE PLAYER ONE,Arthur was here,1595183603965560,71,1:11
Erik Gabriel Machado Fernandes,c,1595183604062737,72,1:12
Giuliano Simonetta,:virtualhug:,1595183604217275,72,1:12
DenikaR,Yay! She gets to rest 😄,1595183604311041,72,1:12
play list,make me die,1595183604460197,72,1:12
KronicZahO,fuck,1595183604731348,72,1:12
Erik Gabriel Machado Fernandes,c,1595183604862381,72,1:12
Gael B. Zamacona,Mr G Gamer,1595183605077892,73,1:13
Салохиддин Эркинов,good night 💯,1595183605205748,73,1:13
Erik Gabriel Machado Fernandes,c,1595183605657922,74,1:14
Eric S,Yo what's up everyone,1595183605675788,74,1:14
нигеры пидарасы,ляяяя,1595183605983010,74,1:14
k a k a o,"Тут много русских, перестаньте спрашивать «А русские тут?»",1595183606063712,74,1:14
Erik Gabriel Machado Fernandes,c,1595183606319395,75,1:15
Gena Pensée libre,Oh yes 😍,1595183606537760,75,1:15
Fox Player,Can't believe i joined in on the last 10 seconds PogChamp,1595183606636967,75,1:15
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183606700129,75,1:15
Andrew Daniel,❤❤❤❤❤❤,1595183606758121,75,1:15
Erik Gabriel Machado Fernandes,c,1595183606798276,75,1:15
Diana Sosa,algún latino?,1595183606806116,75,1:15
K Nicole44,yayyayayay,1595183607326147,76,1:16
Oursodou,nice,1595183607625184,76,1:16
LOST 444,3:33,1595183607871551,76,1:16
Varg,hey,1595183609250642,77,1:17
Love xyz,❤️❤️❤️❤️,1595183609420374,79,1:19
Franco Clavel,MAKI MI ESPOSAAAAAAAA!!!!,1595183609602525,79,1:19
quack,:D,1595183609781965,79,1:19
Snaiper_19 _,21:33 по мск,1595183610582335,80,1:20
•gml art•,I always loved that cat 🐈,1595183610595023,80,1:20
Fidivr Pusha,Russia is here (Mordor),1595183610719178,80,1:20
Amanda,She deserves this sleep after all that studying!,1595183610827330,80,1:20
Bash,This is some good vibe,1595183610899139,80,1:20
Sr. Taki,:virtualhug::virtualhug::yougotthis:,1595183611415121,81,1:21
VIRCOD,не одна))),1595183612077051,82,1:22
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183612316811,82,1:22
blueberry in blood,салам,1595183612355631,82,1:22
play list,tosay,1595183612419491,82,1:22
slow poke,:goodvibes:,1595183612586806,82,1:22
Reza Pahlevi,i'm waiting 1 hour just to hear this music and go to sleep,1595183612882141,82,1:22
THE PLAYER ONE,Arthur was here,1595183612897803,82,1:22
Samuel Gingras,She finally done studying 🤣,1595183612936401,82,1:22
spencer hunt,@jhove where are you,1595183612938843,82,1:22
chemi chemical,ai que delícia hein,1595183613598128,83,1:23
Енотик Полоскун:3,прив,1595183613697212,83,1:23
강준호,hi,1595183613895606,83,1:23
Alice Ngo,Привет всем,1595183614523362,84,1:24
Lina K,😴😴😴😴,1595183614837375,84,1:24
Chadwick Ramos,FUCK YEAH!,1595183614957274,84,1:24
нигеры пидарасы,с,1595183615279602,84,1:24
Adrian Lubiński,"Hello, nice",1595183615393745,85,1:25
bassist 25,hey,1595183615944176,85,1:25
Pinifoxy,:yt:,1595183616171781,85,1:25
_myspoon_,Hi,1595183616482988,86,1:26
Maria Str,хуя,1595183616555882,86,1:26
David Villca Rivera,:chillwcat::shelterin:,1595183616582354,86,1:26
RAMYGAMS,frenchnhere,1595183617542785,87,1:27
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183617589897,87,1:27
Franco Clavel,HORA DE LA MIMISION!!!!!,1595183617803971,87,1:27
Leo 321,flávia batista é nois,1595183618311193,87,1:27
KiLi,🥰🥰🥰❣❣❣🖤🖤🖤🖤,1595183620819294,89,1:29
Sr ClauYT,._.,1595183620852907,89,1:29
Sergio Blanco,Después de casi 2 años terminó su tarea,1595183621604405,90,1:30
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183622385033,90,1:30
chemi chemical,uu,1595183622564412,91,1:31
Burned Calculat0r,(),1595183622635730,91,1:31
Mimi,Shhhh....she's sleeping. 😴❤,1595183622833390,91,1:31
Bruno Genetti,chilled sunday =v=,1595183623265918,91,1:31
Nicolai Schoenmakers,c,1595183623335669,91,1:31
Apex Paradise TV,hey chat,1595183623491422,91,1:31
young'G' IX,:goodvibes::goodvibes:,1595183623559365,92,1:32
NullNekit,РА-СИ-Я,1595183623696286,92,1:32
Nicolai Schoenmakers,c,1595183623831079,92,1:32
Mon Osorno,sooo chill~,1595183623886851,92,1:32
Flávia :3,i am from brazil,1595183623903195,92,1:32
Nicolai Schoenmakers,c,1595183624183945,92,1:32
todoroki,HI IM FROM TEXAS 🙂,1595183624189340,92,1:32
Akkera eiho,котик двигается )),1595183624350670,92,1:32
Nicolai Schoenmakers,c,1595183624528892,93,1:33
XIII,🙂,1595183624879810,93,1:33
Nicolai Schoenmakers,c,1595183624991559,93,1:33
lity fity,hentai,1595183625307244,93,1:33
Marcos Lema,hola,1595183625353100,94,1:34
DarkGamingLegion Knight,🤩🤩🤩🤩🤩🤩🤩🤩❤️🤩❤️🤩❤️🤩🤩❤️🤩🤩❤️🤩❤️🤩❤️🤩❤️🤩❤️🤩❤️🤩❤️🤩❤️,1595183625458873,94,1:34
нигеры пидарасы,ку всем,1595183625804873,94,1:34
Nicolai Schoenmakers,c,1595183625892409,94,1:34
Sniezek Sniezkowaty,xaxaxa ❤,1595183625918430,94,1:34
Ruth costa da silva,hi lorena,1595183626008941,94,1:34
Nicolai Schoenmakers,c,1595183626398541,95,1:35
Mya,AYYYE,1595183626692088,95,1:35
Anna Keerthana,how long is this video??,1595183627017506,95,1:35
Sr. Taki,:virtualhug:,1595183627275485,95,1:35
Benjamin Sanchez,😍😍😍😍😍,1595183627499867,96,1:36
mate0Kun,alguno abla spañol,1595183627957005,96,1:36
NullNekit,РА-СИ-Я,1595183628038771,96,1:36
Apex Paradise TV,chat,1595183628197853,96,1:36
Sofía Neer,yo soy latina uwu,1595183628412419,97,1:37
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183628794407,97,1:37
Rick dich,die katze lebt,1595183629227396,97,1:37
Pointy Features,Hey spence,1595183629258692,97,1:37
Nicolai Schoenmakers,c,1595183629325145,97,1:37
Rodrigo Almeida,Oi gente,1595183629336141,97,1:37
Hosg _,hey,1595183629369366,98,1:38
chill sheep,this lowkey makes me feel nostalgic,1595183632194812,100,1:40
Johnatan Clavijo Pamplona,so? 🤷,1595183632736146,100,1:40
Love xyz,❤️❤️❤️❤️❤️😘😘😘😘👌👌👌👌,1595183632991804,101,1:41
Agw11,c,1595183633115926,101,1:41
нигеры пидарасы,с,1595183633152961,101,1:41
Sr ClauYT,u:,1595183633301100,101,1:41
Rock Lee vs gaara ao som de Linkin park,я люблю этот тип музыки,1595183633604585,101,1:41
Nicolai Schoenmakers,c,1595183633976173,102,1:42
Flávia :3,yyaaaayy,1595183634157330,104,1:44
W i l l,QUEM DORME EM CIMA DA COBERTA? !,1595183634438413,104,1:44
ベーやんのゲーム部屋,まじまんじ,1595183634787425,104,1:44
Oliver St.,Лайн,1595183635600785,105,1:45
kapapase,fr,1595183635616758,105,1:45
Burned Calculat0r,()()()()()()(),1595183635986077,105,1:45
Courtney Mettler,😊😌😌😌😌😌😌😌,1595183636274267,106,1:46
sk1nnzey,"нет, не одна",1595183636432752,106,1:46
Steeven Buisset,France!!,1595183636711186,106,1:46
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183637360704,107,1:47
selina Toliyat,ینی هیچ کس ایرانی نیست؟؟؟؟؟؟؟,1595183637516701,107,1:47
Reza Pahlevi,gn y'all,1595183637811643,107,1:47
MC_P00,VIBE,1595183637826232,107,1:47
Agw11,c h i l l,1595183640484519,108,1:48
Joel Baez,:yt:,1595183640997147,108,1:48
NEXT,🤤🤤🤤🤤🤤🤤🤤🤣,1595183641125369,109,1:49
Vainius Liaudanskas,ohh,1595183641368004,109,1:49
I go reee,IST SO PRITTY,1595183641739632,109,1:49
Twilight76YT,WOOOOOHOOOOOOOOOOOOOOO,1595183641911613,109,1:49
Mya,;-;,1595183641994493,109,1:49
Pinifoxy,し,1595183642421583,110,1:50
Anna Keerthana,is it gon be here forever???????!!!!!!,1595183642762049,110,1:50
Mon Osorno,is she dead? lol,1595183642985306,110,1:50
Giovane Greg,•\\\•) PERFECT 💜💜,1595183643056472,110,1:50
Ayman Hailu,HE @ChilledCow did you make this and when,1595183643518792,111,1:51
TyrranicalT-Rad,CATS MAKE THE BEST SLEEPING COMPANIONS !!!!!!,1595183643686688,111,1:51
mr. WonderFlu,aww,1595183643843620,111,1:51
dan jokess,Hope y’all have a good day,1595183643909787,111,1:51
Nicolai Schoenmakers,c,1595183644030491,111,1:51
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183644035023,111,1:51
David Villca Rivera,BUENAS SOLO TRATO DE MIMIR ;),1595183644995548,114,1:54
Pogo Stick,This is fire🔥🔥,1595183645286787,115,1:55
kapapase,fr,1595183645563372,115,1:55
poulexvx,"Grande Milik,",1595183645611276,115,1:55
Apex Paradise TV,hey,1595183645959983,115,1:55
Diana Sosa,hola gentee,1595183646309505,116,1:56
Недим Касимов,РР ОО СС ИИ ЯЯ,1595183647091270,116,1:56
Alice Ngo,Кто есть в тик токе 😂,1595183647453616,117,1:57
Lux,❤️,1595183648134083,117,1:57
kurapika kurta,crud,1595183648527498,118,1:58
Game Boi,The study girl finally has a break,1595183648642533,118,1:58
Abhijit Das,Hiiii:yt:,1595183648705630,118,1:58